species,count
Bolusiella,5
Aspilia,5
Warneckea,5
Scutia,5
Chamissoa,4
Medeola,4
Lasianthaea,4
Celastrus,4
Dialium,4
Citharexylum,4
Scirpus,4
Acmispon,4
Liriodendron,4
Isocarpha,4
Fallopia,4
Englerophytum,4
Typha,4
Dirca,4
Anemopaegma,4
Corispermum,4
Acokanthera,4
Tarenna,4
Royena,4
Pseudelephantopus,4
Berlinia,4
Caryophyllaceae,4
Askellia,4
Bambusoideae,4
Cuervea,4
Hippobroma,4
Sasa,4
Helicteres,4
Thlaspi,4
Cochlospermum,4
Lannea,4
Cocos,4
Mirabilis,4
Euterpe,4
Tapiphyllum,4
Ruprechtia,4
Strophanthus,4
Uapaca,4
Pleiocarpa,4
Tithonia,4
Voacanga,4
Merremia,4
Erythrophleum,4
Sisymbrium,4
Tamarindus,4
Calluna,4
Tropaeolum,4
Pediomelum,4
Faurea,4
Doellingeria,4
Desbordesia,4
Silphium,4
Cyanotis,4
Rytigynia,4
Morisonia,4
Coptosperma,4
Crepis,4
Maprounea,4
Aster,4
Synsepalum,4
Syngonium,4
Arbutus,4
Podistera,4
Cichorium,4
Dillenia,4
Leichhardtia,4
Ajuga,4
Digitalis,4
Bothriochloa,4
Tinospora,4
Notopleura,4
Bosistoa,4
Moraceae,4
Origanum,4
Hyacinthaceae,4
Asplundia,4
Malachra,4
Lipotriche,4
Salicornia,4
Sauvagesia,4
Opuntia,4
Talinum,4
Gladiolus,4
Dinebra,4
Coincya,4
Cladium,4
Graphephorum,4
Cremnophila,4
Tripteris,4
Hylenaea,4
Coccocypselum,4
Dipterocarpus,4
Guioa,4
Augusta,4
Madhuca,4
Meiogyne,4
Parinari,4
Anticlea,4
Aidia,4
Gossia,4
Toxicoscordion,4
Thompsonella,4
Martynia,4
Urophyllum,4
Macadamia,4
Monsonia,4
Calophyllaceae,4
Brachiaria,4
Leucas,4
Gironniera,4
Oxygonum,4
Pseudoroegneria,4
Piptatheropsis,4
Moorochloa,4
Amphicarpaea,4
Phylica,4
Mitchella,4
Syringa,4
Vinca,4
Youngia,4
Boykinia,4
Panax,4
Chionanthus,4
Cynometra,4
Monarda,4
Arecaceae,4
Symphonia,4
Jollydora,4
Pauridiantha,4
Acosmium,4
Pleonotoma,4
Curatella,4
Canavalia,4
Euphrasia,4
Lepidaploa,4
Chelonanthus,4
Clutia,4
Schultesia,4
Isolona,4
Polemonium,4
Eriochloa,4
Pleuropogon,4
Torilis,4
Halenia,4
Arrhenatherum,4
Microchloa,4
Amerorchis,4
Stipa,4
Lintonia,4
Galearis,4
Carapa,4
Hypericum,4
Scytopetalum,4
Uvariopsis,4
Lespedeza,4
Achimenes,4
Liparia,4
Podophyllum,4
Discoglypremna,4
Symplocarpus,4
Sciadodendron,4
Argyroxiphium,4
Spermacoce,4
Stromanthe,4
Macaranga,4
Delonix,4
Myristica,4
Maesa,4
Odontonema,4
Calopogon,4
Sorindeia,4
Trichosalpinx,4
Apeiba,4
Astrocaryum,4
Scrophularia,4
Cyrtochilum,4
Goodenia,4
Hebanthe,4
Lithocarpus,4
Kunstleria,4
Xanthorrhoea,4
Zephyranthes,4
Bridelia,4
Emblica,4
Antidesma,4
Polyalthia,4
Phaeanthus,4
Friesodielsia,4
Laelia,4
Annonaceae,4
Gonystylus,4
Pentace,4
Theobroma,4
Catasetum,4
Pentagonia,4
Anisoptera,4
Diodia,4
Hakea,4
Stachys,4
Fumaria,4
Pitcairnia,4
Gamochaeta,4
Parthenium,4
Eupomatia,4
Calanthe,4
Nicotiana,4
Phyla,4
Pachypodium,4
Osteospermum,4
Thelocactus,4
Narcissus,4
Goeppertia,4
Brunfelsia,4
Bocconia,4
Plinia,4
Hibbertia,4
Alysicarpus,4
Hoya,4
Sabatia,4
Leptospermum,4
Cnidoscolus,4
Pontederia,4
Dicoma,4
Melochia,4
Polylepis,4
Aeranthes,4
Aerides,4
Ruscus,4
Durio,4
Myrospermum,4
Meliaceae,4
Bellis,4
Rhexia,4
Agropyron,4
Parishia,4
Gluta,4
Ailanthus,4
Helenium,4
Alyssum,4
Porroglossum,4
Xerospermum,4
Miltonia,4
Thymus,4
Eurycoma,4
Oxybasis,4
Carallia,4
Pellacalyx,4
Campnosperma,4
Chisocheton,4
Angostura,3
Wilhelmsia,3
Allamanda,3
Melichrus,3
Ageratina,3
Monotoca,3
Ratibida,3
Secale,3
Craterispermum,3
Lagotis,3
Hylocereus,3
Echinocactus,3
Brunia,3
Rohrbachia,3
Gynerium,3
Putterlickia,3
Litchi,3
Rhipidocladum,3
Galipea,3
Metalasia,3
Fargesia,3
Cyclospermum,3
Distichlis,3
Atractocarpus,3
Esenbeckia,3
Moehringia,3
Rutaceae,3
Calycophyllum,3
Echinacea,3
Dilodendron,3
Antirrhinum,3
Hypodiscus,3
Cryptochloa,3
Streptochaeta,3
Cnidium,3
Hasseltia,3
Carduus,3
Euryops,3
Triflorensia,3
Scolopia,3
Leplaea,3
Hylaeanthe,3
Trixis,3
Triodanis,3
Brassica,3
Ochroma,3
Gomphrena,3
Calpocalyx,3
Pandorea,3
Perezia,3
Caulophyllum,3
Anacardium,3
Virola,3
Hermannia,3
Gaudichaudia,3
Astronium,3
Corallocarpus,3
Kandelia,3
Spigelia,3
Parogonum,3
Gomphandra,3
Psilotrichum,3
Kuloa,3
Liatris,3
Berlandiera,3
Stegnosperma,3
Newtonia,3
Avenella,3
Cannabis,3
Elephantorrhiza,3
Corchorus,3
Oerstedella,3
Agonandra,3
Heliopsis,3
Nepeta,3
Castilla,3
Cedrela,3
Pachystigma,3
Podalyria,3
Caragana,3
Tribulus,3
Lumnitzera,3
Crassocephalum,3
Lophostemon,3
Dissotis,3
Oclemena,3
Koenigia,3
Owenia,3
Psiguria,3
Anthodon,3
Melodinus,3
Moneses,3
Grevillea,3
Lenwebbia,3
Gynochthodes,3
Tilesia,3
Lemna,3
Menispermum,3
Dicliptera,3
Neottia,3
Pycnanthemum,3
Orchidaceae,3
Amianthium,3
Catunaregam,3
Gaillardia,3
Eutrochium,3
Cyanthillium,3
Olearia,3
Hirtella,3
Arctopoa,3
Sclerocactus,3
Mesembryanthemum,3
Cyrilla,3
Trichocladus,3
Heterocondylus,3
Baeckea,3
Pristimera,3
Monodora,3
Gesneriaceae,3
Banksia,3
Neomirandea,3
Maripa,3
Juanulloa,3
Polysphaeria,3
Catha,3
Scrophulariaceae,3
Burkea,3
Ceratophytum,3
Cayaponia,3
Erythrococca,3
Centratherum,3
Gaylussacia,3
Freycinetia,3
Ronabea,3
Asimina,3
Cotoneaster,3
Tanacetum,3
Aureolaria,3
Chenopodiastrum,3
Thaspium,3
Coleataenia,3
Marshallia,3
Platanus,3
Polymnia,3
Rafnia,3
Ayenia,3
Schwenkia,3
Lamium,3
Collomia,3
Pityopsis,3
Wahlenbergia,3
Piptocarpha,3
Thouinidium,3
Bouchea,3
Trachyandra,3
Ursinia,3
Melastomataceae,3
Elaeagia,3
Ceriops,3
Nertera,3
Nothaphoebe,3
Macleania,3
Allenanthus,3
Tarchonanthus,3
Pycnocoma,3
Egletes,3
Fockea,3
Rorippa,3
Dolichandra,3
Heteromorpha,3
Pygmaeothamnus,3
Tetragonia,3
Triaspis,3
Adoxa,3
Olinia,3
Gronovia,3
Senega,3
Werauhia,3
Godmania,3
Tecomaria,3
Cascabela,3
Labisia,3
Bixa,3
Eria,3
Zantedeschia,3
Ryparosa,3
Alyxia,3
Elatostema,3
Teijsmanniodendron,3
Acharagma,3
Stokesia,3
Corydalis,3
Suregada,3
Chlamydocola,3
Phoebe,3
Tolmiea,3
Colocasia,3
Actinodaphne,3
Leucaena,3
Argythamnia,3
Aconitum,3
Calyptrocarya,3
Buchanania,3
Laurus,3
Cyclanthera,3
Livistona,3
Ornithidium,3
Calystegia,3
Pandanus,3
Gesneria,3
Stenocereus,3
Dichorisandra,3
Jacaratia,3
Forchhammeria,3
Chondrodendron,3
Humulus,3
Diaphananthe,3
Heritiera,3
Lindernia,3
Arnoglossum,3
Triantha,3
Simsia,3
Cryosophila,3
Lysichiton,3
Agelaea,3
Tecoma,3
Schlegelia,3
Calotropis,3
Eriocoelum,3
Crepidium,3
Camassia,3
Promenaea,3
Peltophorum,3
Popowia,3
Ayapana,3
Macroscepis,3
Cuscuta,3
Decaspermum,3
Gonolobus,3
Saururus,3
Commersonia,3
Parkia,3
Derris,3
Scaphyglottis,3
Tapeinosperma,3
Nauclea,3
Mischocarpus,3
Neurolaena,3
Calycosiphonia,3
Miltoniopsis,3
Lilium,3
Fagaceae,3
Montanoa,3
Koompassia,3
Fordia,3
Phanera,3
Dipsacus,3
Specklinia,3
Centrosema,3
Poitea,3
Oenanthe,3
Wilkiea,3
Gitara,3
Marcgraviaceae,3
Mundulea,3
Samanea,3
Crossandra,3
Saraca,3
Piptadenia,3
Stylosanthes,3
Drymocallis,3
Cynoglossum,3
Bernardia,3
Ligusticum,3
Actaea,3
Tacca,3
Neptunia,3
Lysiloma,3
Lennea,3
Pterocelastrus,3
Vatica,3
Pimelea,3
Blepharis,3
Triumfetta,3
Salsola,3
Sphaeralcea,3
Ceratophyllum,3
Cadaba,3
Brassavola,3
Erythrodes,3
Anthosachne,3
Cipura,3
Alophia,3
Curculigo,3
Macrocnemum,3
Patersonia,3
Ormosia,3
Xiphidium,3
Paradrymonia,3
Episcia,3
Xylia,3
Sudamerlycaste,3
Sedum,3
Chrysobalanus,3
Attalea,3
Coulteria,3
Pastinaca,3
Aeschynomene,3
Collinsia,3
Hubera,3
Maasia,3
Gaertnera,3
Dypsis,3
Payena,3
Adelia,3
Calla,3
Ateleia,3
Macropharynx,3
Chrysanthemum,3
Nuttallanthus,3
Chloroleucon,3
Koelreuteria,2
Cyclopia,2
Bowkeria,2
Metrosideros,2
Hypodaphnis,2
Spirostachys,2
Craibia,2
Trilepisium,2
Englerodaphne,2
Balduina,2
Leptaulus,2
Ormocarpum,2
Parmentiera,2
Tannodia,2
Fothergilla,2
Zanha,2
Artabotrys,2
Steganotaenia,2
Berchemia,2
Adenium,2
Hyphaene,2
Sericanthe,2
Freesia,2
Hilliardiella,2
Xerophyta,2
Acca,2
Pyrostria,2
Curcuma,2
Lasianthera,2
Proserpinaca,2
Fatsia,2
Monotes,2
Afrocanthium,2
Zamioculcas,2
Glossocalyx,2
Moringa,2
Giliastrum,2
Loeseneriella,2
Brackenridgea,2
Hyperacanthus,2
Suriana,2
Markhamia,2
Camellia,2
Portulacaria,2
Chaetopappa,2
Pluchea,2
Cleyera,2
Paranomus,2
Dalechampia,2
Ruspolia,2
Ammocharis,2
Keetia,2
Lijndenia,2
Scabiosa,2
Scorodophloeus,2
Raphia,2
Xylocarpus,2
Karomia,2
Dysodiopsis,2
Krigia,2
Leptactina,2
